,x1,x2,w1,w2
1,43.25341629,28.28460479,2.361722177,1.50240687
2,30.56604175,6.149500523,0.327059381,1.706835494
3,37.40118086,123.5964147,6.433410903,1.578951327
4,20.73794237,158.3068611,7.567272838,0.493015864
5,35.87786641,111.1905867,2.518236795,0.705741466
6,48.5546203,11.57866612,1.52369043,1.875289215
7,32.94901103,44.37869146,5.655019695,0.907415045
8,21.30247539,24.99642501,5.270098966,0.74478831
9,39.41621328,88.19093417,2.378727736,0.252393611
10,41.29688013,52.95106315,4.188773796,1.166238705
